Frame_No,Template_No,x,y,mx,my
32,2,210,227,211.20802,225.28746
32,3,573,152,574.4387,147.43434
32,4,675,219,676.9432,213.22897
32,5,1028,502,1025.9426,493.25882
33,1,106,242,107.820694,241.39757
33,2,210,227,211.95172,225.40044
33,3,573,152,575.2265,147.45572
33,4,675,219,677.7785,213.2758
33,5,1028,502,1025.9752,493.29044
34,1,106,242,107.963806,241.41177
34,2,210,227,212.18431,225.41557
34,3,573,152,575.2462,147.47977
34,4,675,219,677.8455,213.13622
34,5,1028,502,1026.0071,493.28787
35,1,106,242,108.00711,241.24596
35,2,210,227,212.14665,225.19305
35,3,573,152,575.17975,147.31879
35,4,675,219,677.76935,213.06317
35,5,1028,502,1025.1626,493.09332
36,1,106,242,108.10842,240.94785
36,2,210,227,212.10802,224.99568
36,3,573,152,575.1393,147.19934
36,4,675,219,677.67255,212.9634
36,5,1028,502,1024.3562,492.94687
37,1,106,242,108.06048,240.95619
37,2,210,227,212.29141,224.8553
37,3,573,152,575.5085,147.20981
37,4,675,219,677.9347,212.86401
37,5,1028,502,1024.052,492.87006
38,1,106,242,108.34999,240.65057
38,2,210,227,212.51468,224.75882
38,3,573,152,576.0595,147.16815
38,4,675,219,678.34973,212.66667
38,5,1028,502,1023.99976,492.36194
39,1,106,242,108.07065,239.91129
39,2,210,227,212.35136,223.98463
39,3,573,152,575.8447,146.70804
39,4,675,219,678.12024,212.26248
39,5,1028,502,1023.6797,492.07474
40,1,106,242,108.070724,239.85916
40,2,210,227,212.38235,224.00645
40,3,573,152,575.86206,146.78682
40,4,675,219,678.1078,212.3972
40,5,1028,502,1023.26746,492.01004
41,1,106,242,108.10131,240.0176
41,2,210,227,212.38031,224.10648
41,3,573,152,575.9162,146.84686
41,4,675,219,678.0803,212.48308
41,5,1028,502,1023.0012,492.17038
42,1,106,242,108.13028,240.07143
42,2,210,227,212.43155,224.14972
42,3,573,152,575.9311,146.90448
42,4,675,219,678.1016,212.44006
42,5,1028,502,1022.9546,492.08023
43,1,106,242,108.13891,239.88432
43,2,210,227,212.38783,224.02184
43,3,573,152,575.72424,146.30927
43,4,675,219,678.2089,211.979
43,5,1028,502,1022.7113,491.2023
44,1,106,242,108.83201,239.69345
44,2,210,227,213.05937,223.75232
44,3,573,152,575.863,145.90048
44,4,675,219,678.21375,211.31314
44,5,1028,502,1023.0127,490.3204
45,1,106,242,109.01583,239.90315
45,2,210,227,213.1759,223.80174
45,3,573,152,575.8046,145.83127
45,4,675,219,678.1112,211.16925
45,5,1028,502,1023.22656,489.89038
46,1,106,242,109.53179,240.1602
46,2,210,227,213.64932,224.09357
46,3,573,152,575.7534,145.67796
46,4,675,219,678.5095,211.07993
46,5,1028,502,1023.26843,489.17966
47,1,106,242,109.36479,240.18643
47,2,210,227,213.53201,224.1519
47,3,573,152,575.6911,145.67664
47,4,675,219,678.2825,210.77853
47,5,1028,502,1022.5328,488.96585
48,1,106,242,109.3534,240.08359
48,2,210,227,213.45782,223.90959
48,3,573,152,575.7924,145.25162
48,4,675,219,678.5428,210.95561
48,5,1028,502,1021.94073,488.95596
49,1,106,242,109.0798,240.14398
49,2,210,227,213.2691,224.0005
49,3,573,152,575.6936,145.30551
49,4,675,219,678.2537,210.6737
49,5,1028,502,1021.27045,488.95648
50,1,106,242,109.18316,240.34851
50,2,210,227,213.35449,224.1245
50,3,573,152,575.66394,145.36523
50,4,675,219,678.2044,210.68356
50,5,1028,502,1021.472,488.92926
51,1,106,242,109.68179,240.1902
51,2,210,227,213.75623,223.87073
51,3,573,152,575.461,144.82141
51,4,675,219,678.1789,209.79214
51,5,1028,502,1021.3451,487.54562
52,1,106,242,110.16332,240.3496
52,2,210,227,214.11226,223.99179
52,3,573,152,575.8357,144.63272
52,4,675,219,678.17053,209.43452
52,5,1028,502,1021.17725,487.0973
53,1,106,242,110.156425,240.35794
53,2,210,227,214.10014,223.9952
53,3,573,152,575.8877,144.59143
53,4,675,219,678.6575,209.75586
53,5,1028,502,1020.47375,486.92725
54,1,106,242,110.126884,240.41841
54,2,210,227,214.08694,223.99814
54,3,573,152,575.9373,144.5476
54,4,675,219,678.40607,209.17941
54,5,1028,502,1019.6654,486.6398
55,1,106,242,110.22275,240.8866
55,2,210,227,214.15971,224.44583
55,3,573,152,576.17334,144.6775
55,4,675,219,678.945,209.62164
55,5,1028,502,1019.2609,486.90652
56,1,106,242,110.01619,240.9246
56,2,210,227,213.9644,224.47275
56,3,573,152,576.1711,144.75018
56,4,675,219,678.9827,209.61812
56,5,1028,502,1018.7796,486.82574
57,1,106,242,109.99761,240.6671
57,2,210,227,214.02113,224.12253
57,3,573,152,576.30505,144.46631
57,4,675,219,678.8381,209.3902
57,5,1028,502,1018.5735,486.58932
58,1,106,242,109.937904,240.33215
58,2,210,227,214.0894,223.80109
58,3,573,152,576.8488,144.25119
58,4,675,219,679.55115,209.38658
58,5,1028,502,1018.6865,486.7262
59,1,106,242,109.6385,240.38179
59,2,210,227,213.96101,223.91759
59,3,573,152,576.4756,144.30467
59,4,675,219,679.14685,209.29137
59,5,1028,502,1018.2981,487.02045
60,1,106,242,109.75612,240.37422
60,2,210,227,214.04407,223.92288
60,3,573,152,576.87286,144.2507
60,4,675,219,679.83936,209.56245
60,5,1028,502,1018.2574,487.1144
61,1,106,242,110.00283,240.1023
61,2,210,227,214.11824,223.79506
61,3,573,152,576.931,144.28925
61,4,675,219,679.8716,209.60103
61,5,1028,502,1018.31,487.16412
62,1,106,242,109.94229,240.09174
62,2,210,227,214.1155,223.76022
62,3,573,152,576.90393,144.35323
62,4,675,219,679.84656,209.69217
62,5,1028,502,1018.1724,487.2301
63,1,106,242,109.92987,239.75203
63,2,210,227,214.06651,223.43549
63,3,573,152,577.042,144.43631
63,4,675,219,679.57587,209.4884
63,5,1028,502,1018.174,487.3941
64,1,106,242,109.75334,239.39891
64,2,210,227,214.00879,223.22922
64,3,573,152,577.05133,144.52274
64,4,675,219,679.79224,209.87584
